name,year,rating,m_score,votes
Jodi,2023,8.1,,363.0
Shrek 2 Retold,2023,,,150659.0
Sit Down Stand Up,2023,,,88388.0
R BnB,2023,9.1,,11.0
 King of the Block,2023,,,5497.0
 King of the Block,2023,,,5497.0
Trinket Box,2023,4.5,,1159.0
Billy Boy,2023,,,406.0
Mr.Bear the assassin,2023,9.0,,14.0
Prism with Laser,2023,,,
Oppenheimer,2023,8.6,88.0,380793.0
Barbie,I) (2023,7.4,80.0,255110.0
Heart of Stone,I) (2023,5.7,,34233.0
Painkiller,2023,7.5,,10933.0
"Red, White & Royal Blue",2023,7.1,62.0,26114.0
Blue Beetle,2023,6.8,61.0,17134.0
No Hard Feelings,2023,6.5,,51256.0
Maestro,2023,,,
Guardians of the Galaxy Vol. 3,2023,8.0,64.0,295048.0
The Last Voyage of the Demeter,2023,6.4,,6486.0
Spider-Man: Across the Spider-Verse,2023,8.8,86.0,237224.0
Special Ops: Lioness,2023– ,7.6,,9633.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7.5,74.0,18947.0
Ahsoka,2023– ,8.4,,11121.0
Meg 2: The Trench,2023,5.4,,20552.0
Asteroid City,2023,6.7,74.0,64535.0
Cobweb,2023,5.9,,9072.0
Twisted Metal,2023– ,7.5,,14008.0
Hijack,2023– ,7.5,,41858.0
Mission: Impossible - Dead Reckoning Part One,2023,8.0,81.0,130858.0
Gran Turismo,2023,7.3,,10278.0
The Super Mario Bros. Movie,2023,7.1,,183509.0
The Lost Flowers of Alice Hart,2023,8.0,,2606.0
Elemental,2023,7.0,,41305.0
Sound of Freedom,2023,7.8,,49292.0
Justified: City Primeval,2023– ,7.7,,5930.0
Spider-Man: Lotus,2023,3.5,,1686.0
Gadar 2,2023,6.2,,14881.0
Strays,2023,6.4,,3179.0
Silo,2023– ,8.1,,78472.0
The Continental: From the World of John Wick,2023,,,
Haunted Mansion,2023,6.2,,10824.0
Transformers: Rise of the Beasts,2023,6.1,,74649.0
Dungeons & Dragons: Honor Among Thieves,2023,7.3,72.0,170052.0
OMG 2,2023,8.2,,19946.0
River Wild,2023,5.5,,2970.0
The Flash,I) (2023,6.8,,144042.0
Harlan Coben's Shelter,2023– ,6.6,,1006.0
The Little Mermaid,I) (2023,7.2,,111673.0
The Crowded Room,2023,7.6,,19649.0
The Pope's Exorcist,2023,6.1,,55494.0
Cocaine Bear,2023,5.9,,86354.0
Secret Invasion,2023,6.0,,56960.0
Wolf,2023– ,6.7,,2026.0
Happiness for Beginners,2023,6.0,,10779.0
The Last of Us,2023– ,8.8,,450554.0
Five Nights at Freddy's,2023,,,
Indiana Jones and the Dial of Destiny,2023,6.8,,95113.0
Paradise,I) (2023,6.3,,11665.0
Jailer,I) (2023,7.6,,12649.0
The Covenant,2023,7.5,63.0,108855.0
John Wick: Chapter 4,2023,7.8,78.0,265228.0
Guns & Gulaabs,2023– ,7.8,,5118.0
Jury Duty,2023– ,8.3,,32641.0
Percy Jackson and the Olympians,2023– ,,,
Fast X,2023,5.8,,89473.0
Insidious: The Red Door,2023,5.6,,30352.0
They Cloned Tyrone,2023,6.7,74.0,25606.0
Hidden Strike,2023,5.3,,12864.0
Killers of the Flower Moon,2023,,,
Moving,2023– ,8.5,,1177.0
Full Circle,2023,6.4,,4525.0
Adipurush,2023,3.2,,116040.0
Beautiful Disaster,2023,5.3,,6993.0
Landscape with Invisible Hand,2023,6.6,,346.0
A Haunting in Venice,2023,,,
Culpa mía,2023,6.2,,16263.0
Les trois mousquetaires: D'Artagnan,2023,6.8,,10119.0
Rocky Aur Rani Kii Prem Kahaani,2023,7.2,,30536.0
Jules,I) (2023,7.2,,827.0
The Chosen One,2023– ,5.6,,886.0
Joy Ride,2023,6.5,74.0,12284.0
Scott Pilgrim Takes Off,2023– ,,,
Knock at the Cabin,2023,6.1,63.0,92122.0
You Are So Not Invited to My Bat Mitzvah,2023,5.7,79.0,334.0
The Night Agent,2023– ,7.5,,91944.0
Evil Dead Rise,2023,6.6,69.0,108307.0
Depp V Heard,2023,4.8,,4183.0
Kandahar,2023,6.0,,19106.0
The Walking Dead: Dead City,2023– ,7.3,,12073.0
Extraction 2,2023,7.0,,120479.0
Nefarious,II) (2023,6.4,,16545.0
Bottoms,2023,6.7,78.0,565.0
Baldur's Gate III,2023 Video Game,9.8,,679.0
The Equalizer 3,2023,,,
Beau Is Afraid,2023,6.8,63.0,38131.0
Captain Fall,2023– ,7.0,,2421.0
The Out-Laws,2023,5.4,,28222.0
One Piece,2023– ,,,
Inside Man,2023,5.6,,498.0
The Monkey King,2023,5.8,,2201.0
The Diplomat,II) (2023– ,8.0,,48044.0
Renfield,2023,6.4,,65662.0
Daisy Jones & The Six,2023,8.1,,30763.0
My Adventures with Superman,2023– ,7.7,,3210.0
Beef,2023– ,8.1,,101529.0
The Hunger Games: The Ballad of Songbirds and Snakes,2023,,,
65,2023,5.4,,66154.0
The Idol,2023,4.8,,71098.0
Saw X,2023,,,
Expend4bles,2023,,,
Scream VI,2023,6.5,61.0,96170.0
Longing for You,2023– ,4.6,,8915.0
Shrinking,2023– ,8.0,,55263.0
A Million Miles Away,2023,,,
The Beanie Bubble,2023,6.3,,5358.0
The Fall of the House of Usher,2023– ,,,
Puppy Love,II) (2023,6.3,,1556.0
Miraculous - Le film,2023,6.1,,4319.0
Kimitachi wa dô ikiru ka,2023,7.6,,742.0
Poker Face,2023– ,7.9,,38082.0
Telemarketers,2023,7.7,,341.0
Infinity Pool,2023,6.1,72.0,39929.0
Shazam! Fury of the Gods,2023,6.0,,104909.0
Air,I) (2023,7.4,73.0,138261.0
The Adults,2023,5.9,73.0,848.0
Masters of the Air,2023– ,,,
Totally Killer,2023,,,
Ant-Man and the Wasp: Quantumania,2023,6.1,,200247.0
The Exorcist: Believer,2023,,,
A Safari Romance,2023 TV Movie,6.6,,397.0
The Island,III) (2023,4.1,,396.0
Vacation Friends 2,2023,5.4,,236.0
The Changeling,2023– ,,,
