Country,Number of Cases,Deaths,Continent
United States,109047729,1180288,North America
India,44999765,533291,Asia
France,40138560,167642,Europe
Germany,38538595,176614,Europe
Brazil,37905713,706531,South America
South Korea,34571873,35934,Asia
Japan (+Diamond Princess),33804284,74707,Asia
Italy,26202253,192210,Europe
United Kingdom,24779150,230383,Europe
Russia,23098734,400195,Europe
Turkey,17232066,102174,Asia
Spain,13914811,121760,Europe
Australia,11787077,22869,Australia/Oceania
Vietnam,11624096,43206,Asia
Taiwan,10241523,19005,Asia
Argentina,10075418,130644,South America
Netherlands,8619835,22992,Europe
Mexico,7649199,334472,North America
Iran,7619981,146480,Asia
Indonesia,6813652,161920,Asia
Poland,6531438,119668,Europe
Colombia,6383588,143065,South America
Greece,6101379,37089,Europe
Austria,6081287,22542,Europe
Portugal,5631281,27686,Europe
Ukraine,5557995,112418,Europe
Chile,5299330,64497,South America
Malaysia,5129800,37181,Asia
Israel,4840714,12697,Asia
Belgium,4823665,34376,Europe
North Korea,4772813,74,Asia
Canada,4768195,54498,North America
Thailand,4757919,34486,Asia
Czech Republic (Czechia),4663335,42906,Europe
Peru,4519976,222161,South America
Switzerland,4418681,14452,Europe
Philippines,4119152,66734,Asia
South Africa,4076463,102595,Africa
Romania,3485792,68455,Europe
Denmark,3183756,8814,Europe
Hong Kong,2922977,14296,Asia
Sweden,2720119,25013,Europe
Singapore,2634870,1885,Asia
Serbia,2567962,18057,Europe
New Zealand,2481834,4916,Australia/Oceania
Iraq,2465545,25375,Asia
Hungary,2207993,48881,Europe
Bangladesh,2045843,29477,Asia
Slovakia,1868111,21167,Europe
Georgia,1855289,17132,Asia
Jordan,1746997,14122,Asia
Ireland,1723096,9304,Europe
Pakistan,1581897,30664,Asia
Norway,1489459,5732,Europe
Finland,1488381,10371,Europe
Kazakhstan,1411831,13848,Asia
Slovenia,1346666,7100,Europe
Lithuania,1336925,9734,Europe
Bulgaria,1321917,38531,Europe
Guatemala,1278523,20264,North America
Morocco,1277082,16297,Africa
Croatia,1276216,18414,Europe
Lebanon,1243838,10952,Asia
Costa Rica,1238883,9428,North America
Bolivia,1209081,22404,South America
Tunisia,1153361,29423,Africa
Cuba,1115141,8530,North America
Ecuador,1069139,36043,South America
United Arab Emirates,1067030,2349,Asia
Panama,1049089,8666,North America
Uruguay,1038774,7634,South America
Mongolia,1011170,2179,Asia
Nepal,1003447,12031,Asia
Belarus,994037,7118,Europe
Latvia,979014,6406,Europe
Saudi Arabia,841469,9646,Asia
Azerbaijan,833955,10353,Asia
Paraguay,815869,20028,South America
Bahrain,729191,1574,Asia
Sri Lanka,672593,16882,Asia
Dominican Republic,670627,4384,North America
Kuwait,666432,2570,Asia
